team,binder-average,bpi,kpi,lrmc,net,pom,sag,srs
Virginia,1.8,1,2,4,1,1,2,3
Duke,2,3,1,2,3,3,1,1
Gonzaga,2.6,2,11,1,2,2,5,2
Michigan St.,4.4,4,6,3,8,4,4,4
North Carolina,4.8,5,3,5,7,6,3,5
Michigan,6.8,6,8,6,9,5,8,6
Tennessee,7,7,10,7,5,8,6,7
Kentucky,7.4,8,7,9,6,7,7,8
Texas Tech,9.2,9,12,8,10,9,9,9
Purdue,10.6,10,15,11,12,10,10,10
Virginia Tech,12,11,25,14,11,11,12,12
Houston,12.6,12,5,17,4,13,17,16
Auburn,13.4,13,19,10,18,14,11,11
Wisconsin,14.6,14,23,13,17,12,16,13
Florida St.,15.2,16,14,16,16,15,13,15
Iowa St.,16.2,15,18,15,21,16,15,17
Kansas,17.8,19,4,18,20,20,14,18
LSU,18.6,24,9,23,14,17,20,19
Louisville,20,18,31,20,22,18,22,14
Buffalo,20.4,23,17,12,15,22,25,25
Mississippi St.,21,22,22,21,19,21,21,20
Villanova,22.6,21,16,22,26,26,18,30
Nevada,22.8,20,28,19,23,25,24,22
Kansas St.,23.2,25,13,25,24,23,19,27
Wofford,25.4,17,33,24,13,19,34,38
Marquette,25.4,27,20,26,28,27,23,24
Maryland,26.2,28,24,28,27,24,28,21
Florida,29.4,30,49,30,31,28,27,28
Cincinnati,29.6,31,21,27,25,35,30,35
Syracuse,35,33,36,38,42,34,33,34
Oklahoma,35.6,39,30,40,37,38,31,33
Saint Mary's,37,34,42,39,32,31,38,42
VCU,38,36,32,35,34,37,51,48
Utah St.,38.4,44,41,29,29,33,45,46
Iowa,40.2,37,46,43,43,36,42,36
Oregon,40.4,38,45,32,51,43,32,44
UCF,41.4,42,26,54,30,46,40,49
Baylor,41.6,41,35,50,39,41,44,43
Mississippi,43.8,48,47,42,36,44,46,40
Ohio St.,44.2,40,50,45,55,45,41,37
Washington,46.6,52,29,36,45,51,50,51
Minnesota,47.8,54,38,51,61,47,43,44
N Mexico St.,51.4,58,56,41,40,49,54,57
Seton Hall,52.4,53,27,53,57,55,49,52
Belmont,54,46,62,47,47,54,60,74
Murray St.,56,49,74,52,44,52,56,71
Arizona St.,57,60,34,57,63,61,52,55
St. John's,70.4,69,40,75,73,78,65,70
UC Irvine,75.8,81,71,65,68,75,84,99
Vermont,76.6,56,80,67,71,80,85,107
Liberty,76.8,61,86,64,58,63,110,110
Northeastern,80.6,80,72,68,78,79,94,109
Yale,87.4,77,75,92,86,82,100,103
Saint Louis,99.4,98,90,71,103,104,102,104
Old Dominion,105.2,113,64,90,100,112,111,118
N. Kentucky,106.2,93,142,84,115,100,109,114
Georgia St.,109.2,103,68,97,121,111,114,131
Montana,125.2,119,115,114,124,137,131,141
Colgate,132.4,136,128,100,132,129,137,149
Ab. Christian,155.2,143,154,160,154,145,163,171
Bradley,163.4,175,156,148,176,166,157,163
Gardner Webb,169.4,141,172,157,173,167,178,193
Iona,199.2,184,252,185,202,197,188,224
N Dakota St.,202.2,192,204,203,222,199,193,212
F. Dickinson,210,188,226,196,203,208,217,236
NC Central,294.8,265,296,276,302,303,297,310