team,odds
Virginia,8
Duke,2
Gonzaga,5
Michigan St.,14
North Carolina,6
Michigan,20
Tennessee,16
Kentucky,12
Texas Tech,20
Purdue,30
Virginia Tech,80
Houston,40
Auburn,60
Wisconsin,100
Florida St.,30
Iowa St.,40
Kansas,60
LSU,50
Louisville,100
Buffalo,100
Mississippi St.,200
Villanova,50
Nevada,100
Kansas St.,80
Wofford,300
Marquette,80
Maryland,300
Florida,200
Cincinnati,100
Syracuse,100
Oklahoma,500
Saint Mary's,1000
VCU,500
Utah St.,500
Iowa,300
Oregon,200
UCF,300
Baylor,1000
Mississippi,500
Ohio St.,1000
Washington,500
Minnesota,500
N Mexico St.,300
Seton Hall,300
Belmont,1000
Murray St.,300
Arizona St.,1000
St. John's,1000
UC Irvine,1000
Vermont,2000
Liberty,1000
Northeastern,1000
Yale,1000
Saint Louis,1000
Old Dominion,1000
N. Kentucky,1000
Georgia St.,1000
Montana,1000
Colgate,2000
Ab. Christian,5000
Bradley,5000
Gardner Webb,5000
Iona,2000
N Dakota St.,5000
F. Dickinson,5000
NC Central,10000